No	hr	min	sec	hr	min	sec
1	13	14	43.968	13	14	44.97
1						
2	13	14	45.946	13	14	46.46
2						
3	13	14	47.958	13	14	48.57
3						
4	13	14	49.968	13	14	50.69
4						
5	13	14	51.946	13	14	52.69
5						
6	13	14	53.946	13	14	54.7
6						
7	13	14	55.947	13	14	56.44
7						
8	13	14	57.949	13	14	58.57
8						
9	13	14	59.964	13	15	0.72
9						
10	13	15	1.954	13	15	2.7
10						
11	13	15	3.961	13	15	4.59
11						
12	13	15	5.963	13	15	6.63
12						
13	13	15	7.969	13	15	8.71
13						
14	13	15	9.963	13	15	10.63
14						
15	13	15	11.972	13	15	12.71
15						
16	13	15	13.948	13	15	14.48
16						
17	13	15	15.949	13	15	16.49
17						
18	13	15	17.948	13	15	18.48
18						
19	13	15	19.955	13	15	20.56
19						
20	13	15	21.976	13	15	22.77
20						
21	13	15	23.954	13	15	24.47
21						
22	13	15	25.958	13	15	26.59
22						
23	13	15	27.962	13	15	28.69
23						
24	13	15	29.97	13	15	30.76
24						
25	13	15	31.945	13	15	32.51
25						
26	13	15	33.973	13	15	34.74
26						
27	13	15	35.974	13	15	36.73
27						
28	13	15	37.961	13	15	38.57
28						
29	13	15	39.963	13	15	40.61
29						
30	13	15	41.965	13	15	42.65
30						
31	13	15	43.973	13	15	44.73
31						
32	13	15	45.945	13	15	46.77
32						
33	13	15	47.948	13	15	48.48
33						
34	13	15	49.952	13	15	50.54
34						
35	13	15	51.964	13	15	52.64
35						
36	13	15	53.971	13	15	54.72
36						
37	13	15	55.95	13	15	56.57
37						
38	13	15	57.964	13	15	58.63
38						
39	13	15	59.951	13	16	0.5
39						
40	13	16	1.948	13	16	2.45
40						
41	13	16	3.964	13	16	4.62
41						
42	13	16	5.964	13	16	6.64
42						
43	13	16	7.966	13	16	8.66
43						
44	13	16	9.965	13	16	10.64
44						
45	13	16	11.962	13	16	12.69
45						
46	13	16	13.947	13	16	14.47
46						
47	13	16	15.976	13	16	16.78
47						
48	13	16	17.948	13	16	18.54
48						
49	13	16	19.962	13	16	20.64
49						
50	13	16	21.972	13	16	22.74
50						
51	13	16	23.97	13	16	24.64
51						
52	13	16	25.964	13	16	26.59
52						
53	13	16	27.975	13	16	28.77
53						
54	13	16	29.978	13	16	30.63
54						
55	13	16	31.964	13	16	32.63
55						
56	13	16	33.961	13	16	34.57
56						
57	13	16	35.963	13	16	36.65
57						
58	13	16	37.959	13	16	38.61
58						
59	13	16	39.945	13	16	40.45
59						
60	13	16	41.977	13	16	42.51
60						
61	13	16	43.945	13	16	44.55
61						
62	13	16	45.96	13	16	46.62
62						
63	13	16	47.97	13	16	48.69
63						
64	13	16	49.949	13	16	50.6
64						
65	13	16	51.966	13	16	52.72
65						
66	13	16	53.976	13	16	54.77
66						
67	13	16	55.946	13	16	56.49
67						
68	13	16	57.954	13	16	58.56
68						
69	13	16	59.964	13	17	0.63
69						
70	13	17	1.97	13	17	2.7
70						
71	13	17	3.972	13	17	4.73
71						
72	13	17	5.946	13	17	6.47
72						
73	13	17	7.966	13	17	8.65
73						
74	13	17	9.948	13	17	10.52
74						
75	13	17	11.965	13	17	12.65
75						
76	13	17	13.969	13	17	14.7
76						
77	13	17	15.962	13	17	16.62
77						
78	13	17	17.965	13	17	18.64
78						
79	13	17	19.968	13	17	20.69
79						
80	13	17	21.946	13	17	22.46
80						
81	13	17	23.962	13	17	24.61
81						
82	13	17	25.964	13	17	26.64
82						
83	13	17	27.966	13	17	28.66
83						
84	13	17	29.971	13	17	30.76
84						
85	13	17	31.976	13	17	32.74
85						
86	13	17	33.975	13	17	34.44
86						
87	13	17	35.958	13	17	36.58
87						
88	13	17	37.974	13	17	38.75
88						
89	13	17	39.976	13	17	40.76
89						
90	13	17	41.971	13	17	42.73
90						
91	13	17	43.976	13	17	44.8
91						
92	13	17	45.945	13	17	46.52
92						
93	13	17	47.974	13	17	48.77
93						
94	13	17	49.957	13	17	50.57
94						
95	13	17	51.961	13	17	52.61
95						
96	13	17	53.973	13	17	54.74
96						
97	13	17	55.956	13	17	56.56
97						
98	13	17	57.969	13	17	58.74
98						
99	13	17	59.97	13	18	0.7
99						
100	13	18	1.951	13	18	2.56
100						
101	13	18	3.958	13	18	4.61
101						
102	13	18	5.965	13	18	6.64
102						
103	13	18	7.973	13	18	8.73
103						
104	13	18	9.952	13	18	10.54
104						
105	13	18	11.961	13	18	12.54
105						
106	13	18	13.965	13	18	14.67
106						
107	13	18	15.977	13	18	16.76
107						
108	13	18	17.952	13	18	18.5
108						
109	13	18	19.951	13	18	20.54
109						
110	13	18	21.965	13	18	22.65
110						
111	13	18	23.945	13	18	24.48
111						
112	13	18	25.961	13	18	26.5
112						
113	13	18	27.972	13	18	28.65
113						
114	13	18	29.95	13	18	30.62
114						
115	13	18	31.985	13	18	32.59
115						
116	13	18	33.961	13	18	34.61
116						
117	13	18	35.961	13	18	36.61
117						
118	13	18	37.961	13	18	38.59
118						
119	13	18	39.97	13	18	40.65
119						
120	13	18	41.961	13	18	42.61
120						
121	13	18	43.974	13	18	44.77
121						
122	13	18	45.96	13	18	46.61
122						
123	13	18	47.975	13	18	48.75
123						
124	13	18	49.944	13	18	50.54
124						
125	13	18	51.958	13	18	52.59
125						
126	13	18	53.972	13	18	54.65
126						
127	13	18	55.945	13	18	56.45
127						
128	13	18	57.956	13	18	58.57
128						
129	13	18	59.961	13	19	0.61
129						
130	13	19	1.977	13	19	2.7
130						
131	13	19	3.95	13	19	4.49
131						
132	13	19	5.959	13	19	6.69
132						
133	13	19	7.944	13	19	8.54
133						
134	13	19	9.957	13	19	10.56
134						
135	13	19	11.957	13	19	12.58
135						
136	13	19	13.974	13	19	14.72
136						
137	13	19	15.947	13	19	16.47
137						
138	13	19	17.948	13	19	18.48
138						
139	13	19	19.977	13	19	20.73
139						
140	13	19	21.98	13	19	22.49
140						
141	13	19	23.947	13	19	24.46
141						
142	13	19	25.951	13	19	26.51
142						
143	13	19	27.951	13	19	28.59
143						
144	13	19	29.949	13	19	30.48
144						
