No	hr	min	sec	hr	min	sec
1	17	10	39.514	17	10	40.524
1						
2	17	10	41.535	17	10	41.634
2						
3	17	10	43.537	17	10	43.639
3						
4	17	10	45.514	17	10	45.614
4						
5	17	10	47.523	17	10	47.626
5						
6	17	10	49.52	17	10	49.625
6						
7	17	10	51.536	17	10	51.636
7						
8	17	10	53.541	17	10	53.642
8						
9	17	10	55.544	17	10	55.645
9						
10	17	10	57.526	17	10	57.617
10						
11	17	10	59.536	17	10	59.64
11						
12	17	11	1.528	17	11	1.631
12						
13	17	11	3.531	17	11	3.629
13						
14	17	11	5.528	17	11	5.627
14						
15	17	11	7.525	17	11	7.627
15						
16	17	11	9.524	17	11	9.624
16						
17	17	11	11.529	17	11	11.63
17						
18	17	11	13.546	17	11	13.621
18						
19	17	11	15.527	17	11	15.628
19						
20	17	11	17.537	17	11	17.636
20						
21	17	11	19.528	17	11	19.628
21						
22	17	11	21.528	17	11	21.628
22						
23	17	11	23.541	17	11	23.641
23						
24	17	11	25.537	17	11	25.639
24						
25	17	11	27.543	17	11	27.644
25						
26	17	11	29.523	17	11	29.624
26						
27	17	11	31.535	17	11	31.637
27						
28	17	11	33.541	17	11	33.643
28						
29	17	11	35.518	17	11	35.624
29						
30	17	11	37.531	17	11	37.632
30						
31	17	11	39.516	17	11	39.624
31						
32	17	11	41.532	17	11	41.634
32						
33	17	11	43.538	17	11	43.639
33						
34	17	11	45.541	17	11	45.64
34						
35	17	11	47.529	17	11	47.632
35						
36	17	11	49.53	17	11	49.635
36						
37	17	11	51.537	17	11	51.638
37						
38	17	11	53.52	17	11	53.619
38						
39	17	11	55.525	17	11	55.629
39						
40	17	11	57.534	17	11	57.634
40						
41	17	11	59.536	17	11	59.636
41						
42	17	12	1.517	17	12	1.632
42						
43	17	12	3.535	17	12	3.636
43						
44	17	12	5.536	17	12	5.635
44						
45	17	12	7.515	17	12	7.625
45						
46	17	12	9.532	17	12	9.633
46						
47	17	12	11.536	17	12	11.635
47						
48	17	12	13.542	17	12	13.642
48						
49	17	12	15.515	17	12	15.613
49						
50	17	12	17.529	17	12	17.63
50						
51	17	12	19.534	17	12	19.636
51						
52	17	12	21.521	17	12	21.645
52						
53	17	12	23.521	17	12	23.624
53						
54	17	12	25.538	17	12	25.64
54						
55	17	12	27.542	17	12	27.642
55						
56	17	12	29.516	17	12	29.621
56						
57	17	12	31.525	17	12	31.624
57						
58	17	12	33.526	17	12	33.626
58						
59	17	12	35.537	17	12	35.64
59						
60	17	12	37.517	17	12	37.618
60						
61	17	12	39.525	17	12	39.621
61						
62	17	12	41.545	17	12	41.648
62						
63	17	12	43.538	17	12	43.629
63						
64	17	12	45.535	17	12	45.636
64						
65	17	12	47.541	17	12	47.641
65						
66	17	12	49.523	17	12	49.623
66						
67	17	12	51.531	17	12	51.628
67						
68	17	12	53.542	17	12	53.64
68						
69	17	12	55.549	17	12	55.619
69						
70	17	12	57.532	17	12	57.633
70						
71	17	12	59.539	17	12	59.64
71						
72	17	13	1.539	17	13	1.64
72						
73	17	13	3.518	17	13	3.622
73						
74	17	13	5.522	17	13	5.622
74						
75	17	13	7.534	17	13	7.633
75						
76	17	13	9.542	17	13	9.644
76						
77	17	13	11.55	17	13	11.613
77						
78	17	13	13.516	17	13	13.619
78						
79	17	13	15.524	17	13	15.625
79						
80	17	13	17.513	17	13	17.617
80						
81	17	13	19.53	17	13	19.632
81						
82	17	13	21.545	17	13	21.624
82						
83	17	13	23.52	17	13	23.62
83						
84	17	13	25.527	17	13	25.635
84						
85	17	13	27.539	17	13	27.641
85						
86	17	13	29.514	17	13	29.615
86						
87	17	13	31.522	17	13	31.628
87						
88	17	13	33.541	17	13	33.642
88						
89	17	13	35.514	17	13	35.62
89						
90	17	13	37.517	17	13	37.626
90						
91	17	13	39.534	17	13	39.63
91						
92	17	13	41.537	17	13	41.614
92						
93	17	13	43.523	17	13	43.623
93						
94	17	13	45.556	17	13	45.617
94						
95	17	13	47.525	17	13	47.636
95						
96	17	13	49.542	17	13	49.642
96						
97	17	13	51.539	17	13	51.639
97						
98	17	13	53.518	17	13	53.618
98						
99	17	13	55.517	17	13	55.623
99						
100	17	13	57.543	17	13	57.617
100						
101	17	13	59.541	17	13	59.614
101						
102	17	14	1.523	17	14	1.623
102						
103	17	14	3.535	17	14	3.635
103						
104	17	14	5.548	17	14	5.615
104						
105	17	14	7.538	17	14	7.649
105						
106	17	14	9.528	17	14	9.637
106						
107	17	14	11.537	17	14	11.637
107						
108	17	14	13.518	17	14	13.618
108						
109	17	14	15.53	17	14	15.63
109						
110	17	14	17.55	17	14	17.616
110						
111	17	14	19.518	17	14	19.624
111						
112	17	14	21.535	17	14	21.635
112						
113	17	14	23.546	17	14	23.645
113						
114	17	14	25.529	17	14	25.629
114						
115	17	14	27.514	17	14	27.647
115						
116	17	14	29.52	17	14	29.623
116						
117	17	14	31.538	17	14	31.619
117						
118	17	14	33.53	17	14	33.63
118						
119	17	14	35.541	17	14	35.613
119						
120	17	14	37.513	17	14	37.613
120						
121	17	14	39.537	17	14	39.64
121						
122	17	14	41.538	17	14	41.637
122						
123	17	14	43.542	17	14	43.616
123						
124	17	14	45.515	17	14	45.62
124						
125	17	14	47.534	17	14	47.637
125						
126	17	14	49.537	17	14	49.635
126						
127	17	14	51.541	17	14	51.642
127						
128	17	14	53.522	17	14	53.622
128						
129	17	14	55.526	17	14	55.628
129						
130	17	14	57.538	17	14	57.638
130						
131	17	14	59.537	17	14	59.636
131						
132	17	15	1.523	17	15	1.629
132						
133	17	15	3.531	17	15	3.634
133						
134	17	15	5.545	17	15	5.617
134						
135	17	15	7.518	17	15	7.644
135						
136	17	15	9.518	17	15	9.618
136						
137	17	15	11.526	17	15	11.63
137						
138	17	15	13.539	17	15	13.617
138						
139	17	15	15.521	17	15	15.63
139						
140	17	15	17.535	17	15	17.647
140						
141	17	15	19.531	17	15	19.631
141						
142	17	15	21.537	17	15	21.637
142						
143	17	15	23.535	17	15	23.648
143						
144	17	15	25.514	17	15	25.614
144						
145	17	15	27.535	17	15	27.636
145						
146	17	15	29.54	17	15	29.647
146						
147	17	15	31.518	17	15	31.627
147						
148	17	15	33.534	17	15	33.634
148						
149	17	15	35.532	17	15	35.64
149						
150	17	15	37.551	17	15	37.625
150						
151	17	15	39.522	17	15	39.622
151						
152	17	15	41.523	17	15	41.63
152						
153	17	15	43.538	17	15	43.638
153						
154	17	15	45.543	17	15	45.643
154						
155	17	15	47.537	17	15	47.637
155						
156	17	15	49.536	17	15	49.643
156						
157	17	15	51.545	17	15	51.645
157						
158	17	15	53.525	17	15	53.625
158						
159	17	15	55.524	17	15	55.624
159						
160	17	15	57.532	17	15	57.638
160						
161	17	15	59.515	17	15	59.622
161						
162	17	16	1.527	17	16	1.627
162						
163	17	16	3.542	17	16	3.642
